culture,Llama 3.2-3B,Qwen 2.5-3B,Unknown
AS,100.0,99.99530362090829,
BLEND,,,100.0
CN,100.0,99.98530132288094,
ID,100.0,99.89534959775001,
IR,100.0,99.93805172680811,
KR,100.0,99.99067120667942,100.0
UK,100.0,100.0,
US,100.0,99.96361651810078,
