culture_display,Llama 3.2-3B,Qwen 2.5-3B
ASSAM (ASSAMESE),65.41,68.35
CHINA,79.58,81.36
INDONESIA,78.1,76.93
IRAN,74.37,70.86
MEXICO,81.39,80.77
NIGERIA,64.97,59.73
SOUTH KOREA,74.84,73.98
SPAIN,81.01,79.69
UNITED KINGDOM,85.73,84.76
UNITED STATES,87.85,86.53
WEST JAVA (SUNDANESE),66.66,64.61
