culture_display,Llama 3.2-3B,Qwen 2.5-3B
ASSAM (ASSAMESE),100.0,100.0
CHINA,100.0,99.99
INDONESIA,100.0,100.0
IRAN,100.0,99.94
MEXICO,100.0,99.97
NIGERIA,100.0,99.9
SOUTH KOREA,100.0,99.99
SPAIN,100.0,99.99
UNITED KINGDOM,100.0,100.0
UNITED STATES,100.0,99.96
WEST JAVA (SUNDANESE),100.0,99.9
