country,model,exact_match,overlap,llm_judge_correct,accuracy,num_samples
Libya,Llama 3.2-3B,18.333333333333332,26.666666666666668,35.0,35.0,60
Libya,Qwen 2.5-3B,20.0,33.33333333333333,31.666666666666664,31.666666666666664,60
Liechtenstein,Llama 3.2-3B,66.66666666666666,83.33333333333334,33.33333333333333,33.33333333333333,6
Liechtenstein,Qwen 2.5-3B,33.33333333333333,83.33333333333334,83.33333333333334,83.33333333333334,6
Luxembourg,Llama 3.2-3B,30.0,40.0,20.0,20.0,10
Luxembourg,Qwen 2.5-3B,30.0,50.0,40.0,40.0,10
Mauritania,Llama 3.2-3B,0.0,0.0,100.0,100.0,1
Mauritania,Qwen 2.5-3B,0.0,0.0,100.0,100.0,1
Monaco,Llama 3.2-3B,18.75,25.0,6.25,6.25,9
Monaco,Qwen 2.5-3B,12.5,18.75,12.5,12.5,9
Morocco,Llama 3.2-3B,29.545454545454547,36.36363636363637,38.63636363636363,38.63636363636363,44
Morocco,Qwen 2.5-3B,13.636363636363635,36.36363636363637,40.909090909090914,40.909090909090914,44
Netherlands,Llama 3.2-3B,5.128205128205128,12.82051282051282,5.128205128205128,5.128205128205128,39
Netherlands,Qwen 2.5-3B,10.256410256410255,15.384615384615385,2.564102564102564,2.564102564102564,39
New Zealand,Llama 3.2-3B,8.108108108108109,13.513513513513514,16.216216216216218,16.216216216216218,37
New Zealand,Qwen 2.5-3B,13.513513513513514,35.13513513513514,29.72972972972973,29.72972972972973,37
Portugal,Llama 3.2-3B,29.411764705882355,30.88235294117647,26.47058823529412,26.47058823529412,68
Portugal,Qwen 2.5-3B,26.47058823529412,38.23529411764706,30.88235294117647,30.88235294117647,68
San Marino,Llama 3.2-3B,50.0,83.33333333333334,0.0,0.0,6
San Marino,Qwen 2.5-3B,16.666666666666664,66.66666666666666,33.33333333333333,33.33333333333333,6
Somalia,Llama 3.2-3B,0.0,0.0,0.0,0.0,1
Somalia,Qwen 2.5-3B,0.0,0.0,0.0,0.0,1
South Sudan,Llama 3.2-3B,22.14765100671141,25.671140939597315,28.859060402684566,28.859060402684566,596
South Sudan,Qwen 2.5-3B,12.583892617449665,26.677852348993287,26.006711409395972,26.006711409395972,596
Spain,Llama 3.2-3B,26.33273703041145,36.14788312462731,23.166368515205725,23.166368515205725,820
Spain,Qwen 2.5-3B,16.39236732259988,40.536672629695886,34.21586165772213,34.21586165772213,820
Switzerland,Llama 3.2-3B,11.578947368421053,24.210526315789473,12.631578947368421,12.631578947368421,95
Switzerland,Qwen 2.5-3B,15.789473684210526,32.631578947368425,25.263157894736842,25.263157894736842,95
Syria,Llama 3.2-3B,36.440677966101696,39.61864406779661,43.32627118644068,43.32627118644068,944
Syria,Qwen 2.5-3B,27.966101694915253,40.67796610169492,42.05508474576271,42.05508474576271,944
Tunisia,Llama 3.2-3B,17.708333333333336,21.875,27.083333333333332,27.083333333333332,192
Tunisia,Qwen 2.5-3B,9.895833333333332,27.083333333333332,32.29166666666667,32.29166666666667,192
United Arab Emirates,Llama 3.2-3B,23.684210526315788,27.631578947368425,31.57894736842105,31.57894736842105,152
United Arab Emirates,Qwen 2.5-3B,13.815789473684212,32.89473684210527,35.526315789473685,35.526315789473685,152
United Kingdom,Llama 3.2-3B,16.174833945732054,26.28029607122668,13.645597795364612,13.645597795364612,3808
United Kingdom,Qwen 2.5-3B,14.854349208592424,27.332709157716224,24.68467354437535,24.68467354437535,3808
United States,Llama 3.2-3B,19.500587317050403,28.64221402747622,16.457859403891845,16.457859403891845,14461
United States,Qwen 2.5-3B,15.019524633746943,26.761318023240577,26.33956680657328,26.33956680657328,14461
Unknown Country,Llama 3.2-3B,10.088720660097733,13.126351838500359,13.200953296483217,13.200953296483217,4233
Unknown Country,Qwen 2.5-3B,6.72414483697829,24.062224625490664,14.29894656733157,14.29894656733157,4233
