country,Llama 3.2-3B,Qwen 2.5-3B
Assam (assamese),65.41,68.35
China,79.58,81.36
Indonesia,78.1,76.93
Iran,74.37,70.86
Mexico,81.39,80.77
Nigeria,64.97,59.73
South Korea,74.84,73.98
Spain,81.01,79.69
United Kingdom,85.73,84.76
United States,87.85,86.53

